run_id,fault_type,noise,phase_focus,t_fault,T_delay_s,T_missed,T_false_alarms,R_delay_s,R_missed,R_false_alarms
fault_bias_noise_low_seed_64_phase_descent,bias,low,descent,508.417670699095,0,0,0,0,0,0
fault_bias_noise_low_seed_65_phase_descent,bias,low,descent,535.091573269419,0,0,0,0,0,0
fault_bias_noise_low_seed_66_phase_descent,bias,low,descent,510.073558818979,0,0,0,0,0,0
fault_bias_noise_low_seed_67_phase_descent,bias,low,descent,535.000917930143,0,0,0,0,0,0
fault_bias_noise_low_seed_68_phase_descent,bias,low,descent,512.362412243088,0,0,0,0,0,0
fault_bias_noise_low_seed_69_phase_descent,bias,low,descent,503.741840993564,0,0,0,0,0,0
fault_bias_noise_low_seed_70_phase_descent,bias,low,descent,507.853619044057,0,0,0,0,0,0
fault_bias_noise_low_seed_71_phase_descent,bias,low,descent,503.960169970948,0,0,0,0,0,0
fault_bias_noise_low_seed_72_phase_descent,bias,low,descent,536.803474018487,0,0,0,0,0,0
fault_bias_noise_low_seed_73_phase_descent,bias,low,descent,537.421381912508,0,0,0,0,0,0
fault_bias_noise_low_seed_74_phase_descent,bias,low,descent,513.712164770277,0,0,0,0,0,0
fault_bias_noise_low_seed_75_phase_descent,bias,low,descent,513.896863793393,0,0,0,0,0,0
fault_bias_noise_low_seed_76_phase_descent,bias,low,descent,499.484498476735,0,0,0,0,0,0
fault_bias_noise_low_seed_77_phase_descent,bias,low,descent,533.583076879153,0,0,0,0,0,0
fault_bias_noise_low_seed_78_phase_descent,bias,low,descent,530.319298449737,0,0,0,0,0,0
fault_bias_noise_low_seed_79_phase_descent,bias,low,descent,506.412932484974,0,0,0,0,0,0
fault_bias_noise_low_seed_80_phase_descent,bias,low,descent,503.993519306663,0,0,0,0,0,0
fault_bias_noise_low_seed_81_phase_descent,bias,low,descent,512.833347095673,0,0,0,0,0,0
fault_bias_noise_low_seed_82_phase_descent,bias,low,descent,517.70301610021,0,0,0,0,0,0
fault_bias_noise_low_seed_83_phase_descent,bias,low,descent,513.569764320671,0,0,0,0,0,0
fault_bias_noise_low_seed_84_phase_descent,bias,low,descent,518.307216669485,0,0,0,0,0,0
fault_bias_noise_low_seed_85_phase_descent,bias,low,descent,518.312853666802,0,0,0,0,0,0
fault_bias_noise_low_seed_86_phase_descent,bias,low,descent,536.741334398529,0,0,0,0,0,0
fault_bias_noise_low_seed_87_phase_descent,bias,low,descent,506.779989373515,0,0,0,0,0,0
fault_bias_noise_low_seed_88_phase_descent,bias,low,descent,505.197840714644,0,0,0,0,0,0
fault_bias_noise_low_seed_89_phase_descent,bias,low,descent,506.340667248578,0,0,0,0,0,0
fault_bias_noise_low_seed_90_phase_descent,bias,low,descent,531.805130009288,0,0,0,0,0,0
fault_bias_noise_low_seed_91_phase_descent,bias,low,descent,514.9240357626,0,0,0,0,0,0
fault_bias_noise_low_seed_92_phase_descent,bias,low,descent,509.861504083449,0,0,0,0,0,0
fault_bias_noise_low_seed_93_phase_descent,bias,low,descent,537.019308362716,0,0,0,0,0,0
fault_bias_noise_low_seed_94_phase_descent,bias,low,descent,497.244704970306,0,0,0,0,0,0
fault_bias_noise_low_seed_95_phase_descent,bias,low,descent,530.76805415151,0,0,0,0,0,0
fault_bias_noise_low_seed_96_phase_descent,bias,low,descent,521.687768578724,0,0,0,0,0,0
fault_bias_noise_low_seed_97_phase_descent,bias,low,descent,497.839434683163,0,0,0,0,0,0
fault_bias_noise_low_seed_98_phase_descent,bias,low,descent,498.98985132907,0,0,0,0,0,0
fault_bias_noise_low_seed_99_phase_descent,bias,low,descent,509.594670223539,0,0,0,0,0,0
fault_bias_noise_low_seed_100_phase_descent,bias,low,descent,538.273075826845,0,0,0,0,0,0
fault_bias_noise_med_seed_101_phase_climb,bias,med,climb,108.539828592332,0,0,6,0,0,6
fault_bias_noise_med_seed_102_phase_climb,bias,med,climb,102.814873755821,0,0,5,0,0,5
fault_bias_noise_med_seed_103_phase_climb,bias,med,climb,96.2956062964823,0,0,5,0,0,5
fault_bias_noise_med_seed_104_phase_climb,bias,med,climb,94.720252374156,0,0,4,0,0,4
fault_bias_noise_med_seed_105_phase_climb,bias,med,climb,82.8359169150496,0,0,5,0,0,5
fault_bias_noise_med_seed_106_phase_climb,bias,med,climb,92.0085811789358,0,0,2,0,0,2
fault_bias_noise_med_seed_107_phase_climb,bias,med,climb,84.1010959271413,0,0,6,0,0,6
fault_bias_noise_med_seed_108_phase_climb,bias,med,climb,69.4812220391972,0,0,1,0,0,1
fault_bias_noise_med_seed_109_phase_climb,bias,med,climb,109.868164366587,0,0,5,0,0,5
fault_bias_noise_med_seed_110_phase_climb,bias,med,climb,82.4940654461682,0,0,4,0,0,4
fault_bias_noise_med_seed_111_phase_climb,bias,med,climb,80.9326214253828,0,0,4,0,0,4
fault_bias_noise_med_seed_112_phase_climb,bias,med,climb,73.2910258128917,0,0,7,0,0,7
fault_bias_noise_med_seed_113_phase_climb,bias,med,climb,67.7092414107245,0,0,2,0,0,2
fault_bias_noise_med_seed_114_phase_climb,bias,med,climb,67.2929988970182,0,0,1,0,0,1
fault_bias_noise_med_seed_115_phase_climb,bias,med,climb,119.54373347604,0,0,4,0,0,4
fault_bias_noise_med_seed_116_phase_climb,bias,med,climb,93.8559907296068,0,0,1,0,0,1
fault_bias_noise_med_seed_117_phase_climb,bias,med,climb,94.0214188474274,0,0,1,0,0,1
fault_bias_noise_med_seed_118_phase_climb,bias,med,climb,75.6373885421089,0,0,2,0,0,2
fault_bias_noise_med_seed_119_phase_climb,bias,med,climb,61.9100615950634,0,0,1,0,0,1
fault_bias_noise_med_seed_120_phase_climb,bias,med,climb,106.116377979055,0,0,5,0,0,5
